UTL,ASL,SPA,ALF,CPM,TYPE
7.87,1.79,0.1375,0.591,2.258,1
9.5,2.515,0.3546,0.488,2.275,1
7.91,1.35,0.192,0.412,2.341,1
13.3,3.607,0.339,0.397,2.357,1
8.48,1.963,0.1381,0.582,2.363,1
9.38,1.123,0.1481,0.466,2.404,0
10.8,1.576,0.1361,0.535,2.425,1
8.36,1.912,0.3148,0.434,2.711,1
8.43,1.584,0.1607,0.439,2.743,1
8.83,2.377,0.3287,0.417,2.78,1
8.42,1.495,0.3597,0.4,2.833,1
9.62,0.84,0.139,0.41,2.846,0
8.71,1.392,0.1148,0.478,2.906,1
8.44,0.871,0.1186,0.495,2.954,0
8.91,0.961,0.1236,0.476,2.962,0
6.84,1.008,0.115,0.539,2.971,0
9,0.845,0.139,0.409,3.044,0
10.2,1.692,0.3007,0.381,3.096,1
8.29,0.877,0.106,0.486,3.14,0
8.09,1.528,0.3522,0.287,3.306,1
9.47,1.408,0.1345,0.504,3.306,1
7.7,1.236,0.1221,0.455,3.311,1
9.57,0.863,0.139,0.405,3.313,0
8.35,1.031,0.1365,0.422,3.392,0
7.27,1.416,0.1145,0.476,3.437,1
7.52,0.975,0.2025,0.426,3.462,0
9.56,2.189,0.3279,0.349,3.527,1
7.94,0.949,0.1488,0.394,3.689,0
7.55,1.164,0.127,0.452,3.76,0
10.6,2.78,0.1282,0.425,3.856,1
10.8,1.518,0.1356,0.362,3.959,1
6.31,0.823,0.0943,0.541,4.024,0
5.65,0.821,0.129,0.378,4.737,0
